# Summary generated on 2025-10-24 23:39:13.820411+00:00 UTC
#  Unique trajectory;      Beginning      ;        Beginning          ;   IAU;   IAU;   Sol lon ;   App LST ;   RAgeo  ;   +/-  ;   DECgeo ;   +/-  ;  LAMgeo  ;   +/-  ;   BETgeo ;   +/-  ;    Vgeo  ;    +/- ;  LAMhel  ;   +/-  ;   BEThel ;   +/-  ;    Vhel  ;    +/- ;       a    ;   +/-  ;      e    ;   +/-  ;      i    ;   +/-  ;    peri   ;    +/-  ;    node   ;    +/-  ;     Pi    ;   +/-  ;      b    ;   +/-  ;      q    ;   +/-  ;      f    ;   +/-  ;      M    ;   +/-  ;       Q    ;   +/-  ;      n    ;   +/-  ;      T    ;   +/-  ; TisserandJ;   +/-  ;   RAapp  ;   +/-  ;   DECapp ;   +/-  ;  Azim +E ;   +/-  ;    Elev  ;   +/-  ;   Vinit  ;    +/- ;    Vavg  ;    +/- ;    LatBeg   ;   +/-  ;    LonBeg   ;   +/-  ;   HtBeg ;   +/-  ;    LatEnd   ;   +/-  ;    LonEnd   ;   +/-  ;   HtEnd ;   +/-  ; Duration;  Peak ;  Peak Ht;   F  ;  Mass kg;   Qc ; MedianFitErr; Beg in; End in;  Num;      Participating    
#      identifier   ;     Julian date     ;         UTC Time          ;    No;  code;     deg   ;     deg   ;    deg   ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;      AU    ;  sigma ;           ;  sigma ;    deg    ;  sigma ;     deg   ;   sigma ;     deg   ;   sigma ;    deg    ;  sigma ;    deg    ;  sigma ;     AU    ;  sigma ;    deg    ;  sigma ;     deg   ;  sigma ;      AU    ;  sigma ;   deg/day ;  sigma ;    years  ;  sigma ;           ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ; of N  deg;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    km/s  ;   sigma;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;   sec   ; AbsMag;     km  ; param; tau=0.7%;  deg ;    arcsec   ;   FOV ;   FOV ; stat;         stations      
# ------------------; --------------------; --------------------------; -----; -----; ----------; ----------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; --------; ----------; --------; ----------; -------; ----------; -------; ----------; -------; ----------; -------; ----------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ------------; -------; ------------; -------; --------; -------; ------------; -------; ------------; -------; --------; -------; --------; ------; --------; -----; --------; -----; ------------; ------; ------; ----; ----------------------
20250318171808_IG0r3; 2460753.220928299706; 2025-03-18 17:18:08.205095;    -1;   ...; 358.008319; 246.241982; 333.12870;  0.2063; -21.36271;  0.2176; 327.40906;  0.2333;  -9.60118;  0.1776;  45.08710;  0.1034;   8.64753;  0.2655; -10.80087;  0.2125;  40.14205;  0.0818;    5.186199;  0.2447;   0.988129;  0.0005;  45.929656;  1.0268; 207.432689;   0.3737; 178.004855;   0.0000;  25.437544;  0.3737; -19.330161;  0.3234;   0.061568;  0.0016; 152.569118;  0.3737;   2.552911;  0.1435;   10.310830;  0.4895;   0.083451;  0.0046;  11.810666;  0.8808;   1.216824;  0.0358; 332.51324;  0.1986; -21.89612;  0.2120; 103.63242;  0.1521;  17.68556;  0.2430;  46.74695;  0.1004;  45.18934;  0.0820;   -44.338459;  0.0002;   170.188624;  0.0003; 100.2696;    0.04;   -44.300502;  0.0002;   169.971799;  0.0003;  94.5340;    0.04;     0.42;  +1.16;  98.0577; 0.386; 1.45e-05; 68.03;        78.71;   True;   True;    3; NZ0009,NZ0027,NZ004C
20250318172249_hCxk4; 2460753.224182446022; 2025-03-18 17:22:49.363336;    -1;   ...; 358.011555; 246.666691; 322.64900;  3.0785; -78.05614;  0.7579; 288.06620;  0.4284; -57.96124;  1.0113;  43.10095;  0.1576;  43.36032;  2.2797; -72.03006;  0.2775;  38.41247;  0.6325;    2.890417;  0.2710;   0.675753;  0.0460;  77.006726;  0.6987; 328.761902;   2.7067; 178.009043;   0.0000; 146.770945;  2.7066; -30.352449;  2.7245;   0.937209;  0.0066;  31.239391;  2.7067;   4.640893;  2.1512;    4.843624;  0.5357;   0.200569;  0.0526;   4.914070;  0.6184;   2.047550;  0.2592; 320.37354;  2.8028; -77.48574;  0.7704; 162.68180;  0.9701;  45.67918;  0.7875;  44.57923;  0.1526;  44.65696;  0.1198;   -43.433574;  0.0010;   169.434036;  0.0008;  92.4250;    0.07;   -43.337805;  0.0012;   169.393127;  0.0007;  80.8815;    0.07;     0.40;  -2.17;  86.5961; 0.505; 2.76e-04; 54.01;        76.37;   True;   True;    2; NZ000D,NZ004C
20250318172337_IeBp7; 2460753.224733826239; 2025-03-18 17:23:37.002587;    -1;   ...; 358.012103; 220.309133; 243.29252;  1.6755; -23.38289;  1.0473; 245.61770;  1.7424;  -2.17739;  0.7135;  66.83148;  1.4643; 229.92191;  3.4164;  -3.59514;  1.1734;  40.53203;  0.7533;    6.353979;  0.8459;   0.905916;  0.0117; 175.434910;  1.0454;  80.827780;  98.5954; 178.025611; 102.7971; 258.853391;  9.0155;   4.506597;  1.5715;   0.597810;  0.0684; 279.187595;  9.0445; 357.535859;  2.2683;   12.110148;  1.6300;   0.061537;  0.0543;  16.016561;  2.5553;  -0.113776;  0.4054; 243.84913;  1.6643; -23.49995;  1.0276;  62.65477;  4.6572;  65.64802;  0.3054;  67.88392;  1.4424;  65.46162;  1.4657;   -37.118943;  0.0012;   142.881648;  0.0028; 102.2121;    0.16;   -37.141060;  0.0011;   142.828156;  0.0023;  90.2345;    0.12;     0.20;  -0.27;  97.7509; 0.372; 1.62e-05;  5.32;        26.33;   True;   True;    2; AU0047,AU0048
20250318172552_ZQzQC; 2460753.226305489428; 2025-03-18 17:25:52.794287;    -1;   ...; 358.013665; 248.514077; 302.37037;  1.0919; -78.66784;  0.1931; 280.97927;  0.3222; -56.46978;  0.2255;  47.38922;  0.1779;  32.68352;  0.4923; -78.92266;  0.1874;  40.25585;  0.2568;    5.479452;  1.1290;   0.823363;  0.0227;  83.644802;  0.0998; 339.842130;   0.4950; 178.011315;   0.0000; 157.853444;  0.4950; -20.028672;  0.4912;   0.967875;  0.0012;  20.159259;  0.4950;   1.129360;  0.2138;    9.991029;  2.2576;   0.076842;  0.0134;  12.826445;  4.5376;   1.078696;  0.1203; 302.05513;  1.0252; -78.07614;  0.1939; 164.06876;  0.2664;  52.74189;  0.2336;  48.72488;  0.1732;  47.35112;  0.1462;   -46.664874;  0.0007;   170.519287;  0.0003; 102.6632;    0.05;   -46.581815;  0.0006;   170.484882;  0.0004;  89.8687;    0.03;     0.36;  -1.03;  97.1032; 0.435; 7.11e-05; 87.93;        57.71;   True;   True;    5; NZ0003,NZ000B,NZ000Q,NZ0029,NZ002G
20250318172642_TES4f; 2460753.226882899646; 2025-03-18 17:26:42.682529;    -1;   ...; 358.014240; 248.698954; 308.26930;  0.1103; -31.43592;  0.6199; 302.73479;  0.2044; -12.24372;  0.5943;  61.70501;  0.3431; 328.58048;  0.2325; -18.11976;  0.9102;  42.08383;  0.3241;   77.917225; 91.5610;   0.995996;  0.0094; 146.340294;  1.3307; 247.922518;   1.3645; 178.013930;   0.0001;  65.936447;  1.3644; -30.905187;  1.3958;   0.311993;  0.0094; 112.079797;  1.3645;   0.052730;     nan;  155.522456; 1.8e+02;   0.001433;  0.0105; 687.782068;     nan;  -0.509053;  0.1656; 308.44757;  0.1099; -31.42815;  0.6132;  95.73323;  0.6884;  42.20026;  0.3630;  62.94450;  0.3376;  60.47492;  0.6749;   -44.209591;  0.0007;   170.494953;  0.0023; 107.5150;    0.08;   -44.199525;  0.0005;   170.356690;  0.0014;  97.3020;    0.05;     0.26;  -0.89; 101.2739; 0.611; 3.19e-05; 29.62;        97.89;   True;   True;    4; NZ0015,NZ001C,NZ0027,NZ004C
20250318172819_EkEZg; 2460753.228001978714; 2025-03-18 17:28:19.370961;    -1;   ...; 358.015352; 254.936338; 285.37666;  0.0800;  +5.17479;  0.2543; 287.35199;  0.1171; +27.69100;  0.2457;  61.51928;  0.0238; 308.77605;  0.2817; +45.21349;  0.3091;  40.27658;  0.1250;    5.536715;  0.4499;   0.861386;  0.0086; 126.935261;  0.4019; 120.340136;   0.3780; 358.012218;   0.0000; 118.352354;  0.3780;  43.617630;  0.1114;   0.767466;  0.0017;  59.658570;  0.3780;   2.710246;  0.2550;   10.305965;  0.8987;   0.075653;  0.0068;  13.028036;  1.7011;   0.310292;  0.0554; 285.75321;  0.0785;  +4.81393;  0.2515;  40.33970;  0.1159;  37.94317;  0.2474;  62.69940;  0.0234;  62.30504;  0.0194;   -38.750072;  0.0003;   176.329263;  0.0002; 106.5229;    0.04;   -38.873455;  0.0005;   176.195146;  0.0002;  92.3251;    0.04;     0.37;  -1.09;  96.8022; 0.685; 6.71e-05; 38.06;        64.56;   True;   True;    4; NZ0037,NZ0040,NZ004B,NZ0059
20250318173241_sfZ2A; 2460753.231040128972; 2025-03-18 17:32:41.867143;    -1;   ...; 358.018373; 206.276440; 195.74017;  0.2021;  +0.14176;  0.4086; 194.44359;  0.3336;  +6.32511;  0.3125;  36.52924;  0.1695; 148.24637;  0.0579;  +5.80542;  0.2769;  39.76247;  0.2723;    4.406918;  0.3463;   0.947683;  0.0044;  11.568270;  0.5309; 305.384218;   0.8464; 358.028506;   0.0005; 303.412724;  0.8469;  -9.409758;  0.5127;   0.230557;  0.0039; 234.605773;  0.8469; 356.092656;  0.6913;    8.583278;  0.6888;   0.106537;  0.0184;   9.251306;  1.0163;   1.756485;  0.1210; 196.83624;  0.2029;  +0.78533;  0.3926; 196.52895;  0.4751;  54.79808;  0.3405;  38.11413;  0.1621;  36.15709;  0.1763;    34.867540;  0.0002;   126.572564;  0.0003;  94.2078;    0.05;    34.922923;  0.0002;   126.592435;  0.0003;  85.0041;    0.04;     0.32;  +0.66;  87.1613; 0.766; 3.22e-05; 23.03;        52.56;   True;   True;    3; KR000E,KR0013,KR002C
20250318173302_T5023; 2460753.231280852575; 2025-03-18 17:33:02.665662;    -1;   ...; 358.018612; 208.888569; 257.26047;  0.6123; +13.48463;  0.6891; 254.58052;  0.6358; +36.24293;  0.7493;  65.41082;  1.8607; 239.20566;  2.1801; +57.72125;  0.3199;  45.73736;  1.9039;   -2.865885; 2.1e+03;   1.327145;  0.1634; 118.962701;  0.3653; 206.098394;   5.5423; 358.017878;   0.0000; 204.116272;  5.5423; -22.637297;  4.6949;   0.937561;  0.0197; 333.899265;  5.5422;        nan;     nan;   -6.669331; 4.2e+03;   0.203150;  0.0650;        nan;     nan;  -2.443017;  0.9756; 257.47129;  0.6162; +13.60296;  0.6711; 103.58747;  1.1889;  41.42152;  0.2022;  66.62652;  1.8314;  64.46963;  1.8174;    35.002159;  0.0008;   129.097492;  0.0031; 110.9634;    0.20;    35.026132;  0.0005;   128.976567;  0.0018; 100.8015;    0.11;     0.24;  -0.68; 104.2713; 0.659; 3.23e-05; 21.21;        39.42;   True;   True;    2; KR000B,KR0028
20250318173313_wysRn; 2460753.231410130393; 2025-03-18 17:33:13.835266;    -1;   ...; 358.018741; 249.215236; 198.70000;  3.4083; -71.81441;  0.6801; 237.81391;  0.9416; -56.29081;  1.1822;  42.41385;  0.3409; 137.90388;  3.3303; -67.18027;  0.5991;  38.28132;  0.3692;    2.798758;  0.2311;   0.683092;  0.0244;  74.831985;  1.3667;  42.987224;   2.4918; 178.016154;   0.0000; 221.003378;  2.4918;  41.153757;  2.6404;   0.886950;  0.0101; 317.014119;  2.4918; 353.602905;  1.2866;    4.710566;  0.4534;   0.210502;  0.0286;   4.682186;  0.5719;   2.139761;  0.1375; 201.91359;  3.2761; -72.02330;  0.7090; 203.15547;  0.6418;  54.77254;  1.2100;  43.76369;  0.3298;  44.50535;  0.2001;   -44.596590;  0.0006;   169.377867;  0.0004; 106.3000;    0.09;   -44.546630;  0.0018;   169.407764;  0.0010;  97.6215;    0.07;     0.24;  +1.21; 103.7844; 0.290; 8.05e-06; 88.40;       148.23;   True;   True;    3; NZ0011,NZ004C,NZ004R
20250318173643_30712; 2460753.233833860140; 2025-03-18 17:36:43.245516;    -1;   ...; 358.021151; 254.997304; 273.96455;  0.0951; +11.50033;  0.5338; 274.73692;  0.1331; +34.87286;  0.5307;  62.75603;  0.2454; 285.07105;  0.3698; +58.25301;  0.5878;  42.19149;  0.4541;  384.850777; 87.9221;   0.997475;  0.0416; 120.606129;  0.6243; 162.225980;   0.3428; 358.018192;   0.0000; 160.244171;  0.3428;  15.232501;  0.2049;   0.971692;  0.0004;  17.772855;  0.3428;   0.001621;     nan;  768.729861; 1.8e+02;   0.000131;  0.0112; 7.5499e+03;     nan;  -0.608329;  0.2190; 274.43742;  0.0925; +11.08231;  0.5309;  24.36922;  0.1248;  37.66725;  0.5297;  63.84983;  0.2416;  62.38891;  0.2260;   -37.985030;  0.0011;   174.284918;  0.0003; 108.3058;    0.11;   -38.169985;  0.0013;   174.178704;  0.0004;  90.6951;    0.06;     0.47;  -2.25;  94.1422; 0.804; 2.18e-04; 16.46;        31.16;   True;   True;    2; NZ002R,NZ002Z
